tran,loudest_slot,slot0,slot2,slot4,slot6,slot8,slot10,slot12,slot14,slot16,slot18,slot20,slot22,slot24,slot26,slot28,slot30,slot32
108,2,1.9185,76.5522,5.15506,13.7715,6.48543,1.03273,5.52606,1.63255,2.23633,0.84338,1.41587,0.443149,1.14639,0.922109,16.3146,0.577622,1.15638
109,30,16.7629,12.0106,10.9223,9.42743,2.45713,0.679012,2.54286,1.32022,1.09456,1.87498,1.94951,0.985098,0.604946,5.10043,4.49737,338.149,4.50388
110,30,0.831127,14.7831,2.12989,0.788855,1.23896,0.77892,0.223267,0.404887,0.14626,1.14842,1.14044,1.40993,0.318903,7.4624,1.3811,341.375,1.37145
111,30,3.35969,51.2437,2.41587,10.4959,2.55782,1.09557,2.54284,1.98747,2.06863,6.86221,7.33326,3.57603,2.6155,2.72205,2.62787,334.249,3.28443
112,30,0.386998,10.8235,1.13626,23.8903,9.46094,1.00339,8.62109,0.751392,6.42751,4.97231,4.45198,1.73305,1.02626,5.77432,2.38805,341.823,2.31191
113,30,0.252088,31.9021,3.46086,15.797,11.8056,1.62689,10.6151,0.732708,6.06888,6.23987,6.82361,1.40011,1.77503,2.05475,1.68666,365.188,1.60062
114,30,0.58227,21.9411,6.30174,15.3459,7.74612,0.430806,3.11768,2.00267,2.36847,0.690905,2.36598,1.18835,2.39114,2.93426,3.22912,356.721,3.1353
115,30,5.33659,32.0879,3.73863,14.0116,15.7991,2.63321,2.12754,3.49541,1.60447,1.2619,0.647382,1.08659,2.26809,2.61629,1.87206,368.794,0.990251
116,2,40.0449,95.1843,42.723,19.588,35.511,16.6286,27.6473,19.3137,8.06227,8.12943,13.3107,5.28838,2.60517,4.64004,2.68312,27.3017,0.840057
117,32,16.519,8.79748,24.4019,6.04197,11.5942,2.5595,5.34901,6.53834,1.71905,4.51728,0.959275,1.53333,1.96448,1.29931,5.86196,2.18421,353.748
118,32,0.665278,27.0924,2.49872,7.78216,7.12382,0.415703,2.79125,3.84725,1.93448,0.557284,2.3298,0.490838,3.38305,2.76594,3.06676,2.36475,357.084
119,32,2.10923,25.8475,15.9489,7.49808,11.14,0.666293,2.73587,6.69685,2.48512,1.93675,3.85532,1.00666,8.09443,8.07484,3.34863,3.24474,357.721
120,32,1.48816,25.9106,21.906,1.4446,8.164,1.43314,2.48368,5.89714,0.678701,1.48438,6.66969,0.507888,11.1852,11.6343,0.676783,2.27901,387.482
121,32,4.13184,36.9502,11.0879,3.48783,3.70324,1.49601,2.20822,3.87242,0.522968,1.33296,2.2054,0.639375,9.04273,8.89441,1.30346,0.921683,360.923
122,32,2.3342,31.9839,3.68584,3.42097,2.56358,1.33124,1.0631,2.26006,0.718505,0.960472,1.4731,0.545014,2.13785,2.81036,2.79029,1.08719,349.116
123,32,3.62595,8.50585,12.1587,13.2985,4.06062,1.20087,2.78718,3.83742,0.785259,0.973967,3.41428,1.35299,2.44485,3.27191,4.10437,3.91248,365.339
124,4,38.3459,20.9224,75.6776,35.2091,33.1007,41.6326,20.0295,1.34015,18.0619,14.5992,0.807085,9.25248,11.8815,2.21646,4.53736,11.3971,26.252
