tran,loudest_slot,slot0,slot2,slot4,slot6,slot8,slot10,slot12,slot14,slot16,slot18,slot20,slot22,slot24,slot26,slot28,slot30,slot32
49,14,4.39223,5.0127,2.45555,3.43418,3.8617,4.5447,9.94604,97.2839,10.471,4.97208,3.29541,2.25593,1.88587,1.96184,2.02882,5.4939,0.669412
50,14,2.5491,5.6484,1.10969,1.79866,1.7302,2.02933,5.51663,70.3997,5.49487,2.21115,1.56656,1.3028,0.868873,0.888539,0.814396,5.04344,0.731495
51,14,6.18241,7.83844,1.30083,1.74852,1.6595,1.98946,4.34123,63.3956,4.94495,2.35155,2.13381,1.53271,1.39962,1.14649,1.12624,7.34766,0.972101
52,0,13.1405,7.52671,5.11928,4.76731,4.09077,3.00972,3.10005,5.4844,6.14664,1.39008,3.21848,1.54827,1.74277,1.418,1.52387,1.04298,0.913786
53,16,5.33492,2.98884,2.7357,4.27721,4.31687,6.02621,7.50779,21.1331,229.03,23.8562,10.0353,6.29787,6.76262,3.5015,5.66902,4.21509,3.37816
54,16,3.77733,1.74267,3.5232,2.65552,3.55367,5.31441,7.67128,15.9814,288.548,16.4648,8.83178,4.36566,3.99697,2.55405,2.25862,2.12584,1.83626
55,16,5.46484,15.2871,5.50639,5.53456,5.24938,7.34328,9.15402,23.7951,209.054,20.8409,13.0388,5.64868,6.1944,3.51071,3.01395,2.64969,1.94891
56,16,5.65711,3.26269,4.22757,3.08181,5.52722,6.38371,7.44837,26.9284,248.253,24.4042,10.3384,6.66897,6.7906,3.3445,3.99392,3.03808,2.64052
57,16,1.73341,2.41326,1.97239,2.40007,3.14851,3.86742,7.7986,14.7624,292.703,16.7649,8.67076,5.48765,4.29713,3.37499,2.88928,2.49137,2.67176
58,16,4.37008,2.30931,4.18767,3.66731,5.93072,7.62576,8.68178,25.7369,267.196,24.4105,10.8703,5.89097,6.09129,3.03778,3.94389,2.92612,2.97086
59,16,3.50062,3.11377,2.78388,3.33464,4.71371,4.73339,8.23877,17.8377,277.654,16.9381,6.77813,6.44975,4.26776,3.862,3.52103,2.78301,3.489
60,16,4.19533,3.51399,1.59576,1.25526,1.05921,0.922671,2.43108,1.05103,19.9932,0.569865,2.16637,0.363578,0.312448,0.312171,0.30848,0.281051,0.279419
61,18,1.62062,0.967268,0.71764,1.71924,1.62647,1.42629,2.22851,2.81574,5.94532,372.796,7.97849,2.88985,1.70103,1.38815,0.78203,1.07513,0.765917
62,18,1.55789,1.44138,1.80767,1.89197,2.33984,3.51679,3.04243,5.9779,13.6973,390.773,11.3589,4.15684,3.53316,3.04789,2.21161,1.88183,1.86748
63,18,2.90444,0.643666,1.37651,0.859946,1.26635,1.62378,2.09135,3.92811,7.28585,406.593,7.84181,4.16662,2.34606,1.826,1.51461,0.971711,0.88958
64,18,3.87505,5.20454,2.69197,3.75728,3.47496,4.73337,5.41505,10.3962,14.4887,207.979,22.3305,10.9334,8.36026,3.9053,3.92856,3.31363,2.49243
65,18,1.63349,1.57139,1.579,1.71764,2.10927,2.49656,2.87852,4.20107,9.10369,368.07,9.25438,4.17577,2.69937,2.44464,1.67086,1.36958,1.20721
66,18,1.90235,0.948741,1.18268,1.00495,1.16556,1.50407,1.94371,2.45022,5.7682,410.418,6.21246,2.83541,1.82465,3.41519,1.02425,0.963443,0.734388
67,18,2.56798,1.22868,1.15614,1.00049,1.0896,2.74385,2.94456,8.46902,5.91808,367.753,6.24051,7.71747,3.01898,1.75094,1.10073,1.03166,0.884204
68,18,5.71312,19.8843,7.34665,3.0737,4.64408,5.88893,2.94968,4.07799,5.03381,26.2596,7.41585,14.678,15.1471,11.1496,6.91725,3.26255,1.86558
69,20,3.69084,5.34487,2.45456,1.82966,1.98332,1.30917,2.12049,3.22715,7.50996,14.7537,371.777,11.937,6.79041,3.44843,3.37703,3.84275,1.87556
70,20,2.21405,1.98908,1.88504,1.89291,2.18621,1.75706,2.42869,4.18109,3.99899,13.144,378.036,11.731,6.17854,3.31014,3.04973,2.01196,1.96155
71,20,7.56695,4.87211,5.12203,4.08572,4.39558,5.5571,5.18342,8.53451,11.2004,27.0973,232.674,18.8543,11.1699,5.0303,4.84242,3.44506,2.81675
72,20,4.48851,2.29268,2.02266,1.82328,2.27668,1.74846,2.70745,3.54562,5.48577,13.2831,358.721,10.6945,6.67753,3.45256,3.01178,2.04258,1.69733
73,20,0.662199,0.823639,0.99336,0.977168,1.01887,1.27541,1.72136,1.65006,3.21418,6.7893,405.78,7.57692,3.19147,2.40555,1.49018,1.3882,1.05991
74,20,1.18453,1.56186,0.545644,0.497995,0.478713,0.701963,0.871663,1.49936,2.57087,4.2083,383.495,4.02909,2.15295,1.82358,0.824128,0.677363,0.471933
75,20,5.48126,4.40195,2.74088,2.41172,2.58631,2.63747,2.72253,3.66056,6.15444,11.3288,351.919,10.5489,5.89141,2.17757,2.24785,1.14279,1.47004
